word WORD_AVERAGE_FIX_PUPIL_SIZE WORD_FIRST_RUN_FIXATION_% WORD_THIRD_RUN_FIXATION_% WORD_THIRD_FIXATION_Y WORD_LAST_FIXATION_Y WORD_SELECTIVE_GO_PAST_TIME WORD_SPILLOVER
de  22.009724553514538 0.00014567332374519753 8.19967594531122e-07 0.035527317082051375 3.2240561452056276 2.306015037593985 0.8268164357625298
enorme  0.2714658923337399 1.915017568133409e-06 7.354949116131733e-08 0.0005685521309326585 0.029321669791913193 0.029529028382093248 0.01519598026543356
belangstelling  0.15913530193522546 1.2314078173642338e-06 1.2142948169455115e-07 0.006470534690236487 0.024911249066977368 0.026257532450982175 0.004223634145897431
die  8.64905791112163 5.878424875748707e-05 7.374974967685558e-07 0.03773707877441788 1.335441205920368 0.9472701123268219 0.2754919987620383
het  26.634352291139468 0.00018033952921043465 1.6013399115221463e-06 0.08072639225181594 3.911723679659191 2.850304939103206 0.9196162318629504
publiek  0.04124506180706002 1.957071856396439e-07 2.767208578346593e-08 0.0002162791967812995 0.0017267745635274627 0.0028910047515884143 0.0018696863223433887
toonde  0.08012312257641684 7.498771140927378e-07 0.0 0.0003189571992936336 0.004856997214586104 0.009219173842596807 0.00221922845855559
voor  5.662730470243405 3.9062972200476936e-05 6.499299095195618e-07 0.029801562016421198 0.8623732454623237 0.6241766644213439 0.13289701250705457
wat  6.175875967157604 4.2093065593766514e-05 5.942216315607421e-07 0.03305175772360682 0.8905896703016621 0.6657139216078938 0.170775000455133
indertijd  0.07732420033133683 9.62879353347048e-07 3.040288372262375e-08 0.0027957909301097776 0.007480929927724883 0.011367401554734294 0.0070126891077572865
bekend  0.24169624424256772 1.6257350397786233e-06 3.040288372262375e-08 0.0009282892461177155 0.039076262083780886 0.030308216060732945 0.00824883030821606
stond  1.2925922736623638 9.364452292960008e-06 2.139125052340294e-07 0.01171293852063573 0.1719541590052613 0.1568861621365763 0.04276429572721149
als  4.129799013271678 2.7035445757250218e-05 2.958364434087641e-07 0.015917275027763113 0.6271972910484443 0.4626536073840776 0.12033170092300971
zaak  1.028060004733383 7.18400116514046e-06 1.5456316335633272e-07 0.0051863314460485355 0.16304866281927582 0.10825793296801325 0.026399533943818384
styles' 0.08890538695406797 6.102423128038014e-07 3.040288372262375e-08 0.0009586921298403394 0.011187350943945821 0.013331755538968487 0.005743778332028619
wordt  0.45339285259152723 3.132953448997797e-06 6.044166105335979e-08 0.0028414862822916855 0.07734256949880755 0.052462269475140634 0.010624624515283366
nu  2.4249663019534307 1.6049445648018357e-05 1.926122813085984e-07 0.005027034899597662 0.36303118571246507 0.2774636348741102 0.07289409965591946
minder 0.07726184711172604 4.7588705419723635e-07 5.2249267235886324e-08 0.0017072948715614702 0.009025287188916601 0.01198456188898396 0.00850188425057802
niettemin  0.07761910830344627 7.167434324309563e-07 8.97522256003204e-08 0.004422800342260009 0.00992117096615631 0.016996486373318284 0.0029583644340876406
is  7.325435471244697 4.9040215550984e-05 4.950026397713413e-07 0.023656356387336375 1.0976496932403639 0.7935789837790602 0.16392615922372517
mij 0.6385166305594495 4.539860547251909e-06 6.353656538440533e-08 0.0021203735731580766 0.0866420288008156 0.07421398532651241 0.01944874292268201
zowel  0.11436370587485663 8.003058493691857e-07 4.369276702652515e-08 0.002147317446157767 0.014743760126709025 0.016903639243386916 0.00542882630304575
door  3.1725877951537442 2.2046824081996716e-05 3.1750077372608276e-07 0.016749440186422472 0.47005552622476326 0.35001183345773634 0.0776420470061352
mijn  5.129390231025506 3.671357570682154e-05 4.7206393708241566e-07 0.026718673196307954 0.8132663984416244 0.5952065393507983 0.2262120191519962
vriend  0.5059018733273865 3.61757905660034e-06 5.734675672231426e-08 0.004185220921553278 0.07771395801853304 0.05752516885433924 0.021056272642866247
poirot  7.424948752025344 5.6743978590544145e-05 5.896703016621458e-07 0.04448105736496205 1.0568053305175782 0.9028946458155073 0.30714376740883687
betrokken  0.1486069835605964 9.971053541844928e-07 3.877733073604107e-08 0.00172240528682481 0.013297165431739151 0.019914799104298275 0.010227748548125762
familieleden 0.08205909446740338 5.55262247628757e-07 4.4967139398132137e-08 0.002150776456880701 0.008218609477689381 0.010708368985417539 0.0061115257878352055
verzocht  0.14584341604616868 1.0546341641027507e-06 3.2587522073950007e-08 0.0028205501647581423 0.021889348067505324 0.019578000691802145 0.0008629321487738718
een  19.579115731216664 0.0001326461432030436 9.579639170565636e-07 0.04454586830271807 2.9962054652369425 2.0409383021718948 0.7853574614502358
verslag  0.08107921134555517 4.3492508510986923e-07 0.0 0.0008024904877205119 0.007237342751552004 0.009499535764350343 0.0048735640554169925
van  13.985209051684903 9.2226692639589e-05 5.618161626827358e-07 0.03198620036774744 2.1213289883303896 1.435281909373919 0.34700795572466275
hele  0.8818844872471736 6.236960439840523e-06 0.0 0.0005838445993919423 0.14221850024577173 0.10158386280471153 0.03490505925831528
gebeuren  0.06626554279160371 4.059786269547962e-07 3.732090516849023e-08 0.001114347612372335 0.007568315461777933 0.006677711227220594 0.0
te  7.458775528409403 5.169436909464946e-05 1.8806095141000197e-07 0.009254128056218027 1.2552334832237977 0.8173423874456116 0.22735349269056418
schrijven 0.20533901946148664 1.4387664075442853e-06 6.717762930328242e-08 0.001440222833111835 0.03262611735149011 0.02142948169455115 0.009412150230297293
gezien  0.5394142256367311 3.873727903293344e-06 7.537002312075589e-08 0.004270603870450946 0.08631943053760306 0.06621092683282055 0.013668553951464617
feit  0.40017752007136487 2.714413151522875e-06 4.660561816162683e-08 0.0018665914180123432 0.05104243659997453 0.03804547688834677 0.007391359755320505
dat  19.335162882994414 0.00013123304629612757 1.2375976260263244e-06 0.061900999472045755 2.9118421962897476 2.057242986400626 0.49241748438893845
er  6.561029874929454 4.32795062717326e-05 2.4140253782155147e-07 0.009679404321942874 0.9444830599501174 0.6962242167161244 0.19926450508838683
