word IA_DWELL_TIME IA_FIRST_FIXATION_DURATION IA_FIRST_RUN_DWELL_TIME IA_FIRST_RUN_FIXATION_COUNT IA_FIXATION_COUNT
просим 0.12703217176092998 0.11731680576183554 0.12522430685273056 0.12572441636994772 0.12831727005210444
вас 0.046341517545497465 0.045101599223323456 0.04426071506955544 0.05057878819480655 0.05237439593963447
разборчиво 0.18778720724587764 0.12607118681431242 0.16019835288195125 0.16618744692579296 0.19509462487513837
заполнять 0.20796732503946447 0.14185202174159917 0.16211927586461677 0.14740103988200767 0.18592910558570236
купон 0.14938892755530267 0.14023883972807416 0.14406922369991482 0.1300597410723597 0.13486406954455876
желательно 0.16778599120578 0.13872015373207777 0.15370033410265854 0.148846148116145 0.16497934720984858
печатными 0.20937468550024654 0.15981301478758297 0.1946689846122665 0.16763255515993028 0.17938230609324804
министром 0.20183695828656636 0.14011734484839444 0.1732076381852447 0.1632972304575183 0.1911665451796658
труда 0.1395135507626963 0.11687132453634326 0.12068695429022748 0.11705376696512373 0.13748278934154048
тянется 0.15315182777035977 0.1337996111050495 0.1448972077441672 0.13873039047718366 0.14926702842795825
целый 0.2681179062150285 0.2558428181913323 0.27031702126235707 0.26016417621381643 0.26170999703031783
шлейф 0.1280220947969038 0.11515014707421403 0.12007755803365773 0.11705376696512373 0.12569855025512272
финансовых 0.18827620537208156 0.14175752572407052 0.1655968088504768 0.161852122223381 0.1846197456872115
не 1.0 1.0 1.0 1.0 1.0
промывать 0.24813673208958298 0.12506547919918592 0.2186407786614615 0.2124309104181875 0.2422315812208094
манную 0.20657785475403134 0.14848024239968113 0.1810569269247573 0.16040701398924362 0.18592910558570236
крупу 0.133663463423598 0.12596994108124598 0.13102019516249724 0.12138909166753573 0.1270079101536136
перед 0.10662544507959008 0.11019585586949696 0.11164536852699145 0.11127333402857442 0.10736751167625065
тем 0.046526382690769676 0.05105484832762924 0.05010297048580026 0.05635922113135587 0.05237439593963447
как 0.15082610497499957 0.15614116953504065 0.15697252704554399 0.15896190575510633 0.15450446802192166
варить 0.13855940807742034 0.12474824256891114 0.13657762406751922 0.13584017400890902 0.13748278934154048
ее 0.2181635569013012 0.22658036587076621 0.22497900505613153 0.22475157546593566 0.21931103371939206
нас 0.20072180402315004 0.1685808952711354 0.17840737798314968 0.18497385396957827 0.2016414243675927
сказал 0.1440695820848891 0.10351363748711293 0.1213559653979834 0.12861463283822236 0.14402958883399478
что 0.3485125425806155 0.3577956709412081 0.35700022439221185 0.38150857381225517 0.3757862908668773
русский 0.1199894060652367 0.10956138260894738 0.11517589249168361 0.11560865873098641 0.12177047055965014
солдат 0.1255771041658841 0.12263558160559171 0.12403863370136113 0.12283419990167305 0.12569855025512272
омоет 0.2335323856130776 0.15339403531117163 0.18146760701070647 0.1546265810526943 0.20164142436759272
сапоги 0.2053732496138704 0.14723154502519523 0.1593902404547609 0.14017549871132104 0.1872384654841932
в 0.6918755265355206 0.7179179575350287 0.7126074373456736 0.7377951609755812 0.7168141328549977
